time,area,Manual,YOLO,Difference,Difference Rate
9:38:57,A,1,3,2,2
11:27:04,A,1,0,-1,-1
13:41:05,A,2,3,1,0.5
15:03:21,A,3,3,0,0
17:01:33,A,1,1,0,0
19:37:54,A,3,0,-3,-1
21:11:17,A,0,0,0,
9:38:57,B,10,6,-4,-0.4
11:27:04,B,6,1,-5,-0.833333333
13:41:05,B,8,0,-8,-1
15:03:21,B,9,5,-4,-0.444444444
17:01:33,B,9,3,-6,-0.666666667
19:37:54,B,22,2,-20,-0.909090909
21:11:17,B,0,0,0,
9:38:57,C,28,33,5,0.178571429
11:27:04,C,30,32,2,0.066666667
13:41:05,C,21,26,5,0.238095238
15:03:21,C,26,23,-3,-0.115384615
17:01:33,C,25,35,10,0.4
19:37:54,C,17,7,-10,-0.588235294
21:11:17,C,11,6,-5,-0.454545455
9:38:57,D,4,4,0,0
11:27:04,D,4,6,2,0.5
13:41:05,D,9,9,0,0
15:03:21,D,6,5,-1,-0.166666667
17:01:33,D,6,5,-1,-0.166666667
19:37:54,D,6,6,0,0
21:11:17,D,2,2,0,0
9:38:57,E,10,8,-2,-0.2
11:27:04,E,11,7,-4,-0.363636364
13:41:05,E,5,2,-3,-0.6
15:03:21,E,6,8,2,0.333333333
17:01:33,E,8,8,0,0
19:37:54,E,6,0,-6,-1
21:11:17,E,1,0,-1,-1
9:38:57,F,0,0,0,
11:27:04,F,0,0,0,
13:41:05,F,0,0,0,
15:03:21,F,0,0,0,
17:01:33,F,0,0,0,
19:37:54,F,0,0,0,
21:11:17,F,0,0,0,
